Year,Incident,HourlyNotionalCost,FinalDescription,Animal,OriginofCall,PropertyType,PropertyCategory,RescueType,Ward,Borough,Street
2009,Special Service,255,Redacted,Bird,landline,Tree scrub ,Outdoor,below ground,St. James's,Westminster,Lisle Street
2009,Special Service,255,Redacted,Bird,landline,Park ,Outdoor,below ground,Stonebridge,Brent,Bridge Road
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,below ground,Lower Edmonton,Enfield,Hendon Road
2009,Special Service,260,Redacted,Bird,landline,Multi-Storey car park,Non Residential,below ground,Uxbridge South,Hillingdon,Belmont Road
2009,Special Service,260,Redacted,Bird,landline,House - single occupancy ,Dwelling,below ground,Jubilee,Enfield,Cuckoo Hall Lane
2009,Special Service,260,BIRD TRAPPED IN DRAINPIPE,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Lesnes Abbey,Bexley,New Road
2009,Special Service,260,ASSIST police WITH DUCKLINGS IN DRAIN,Bird,police,Other outdoor location ,Outdoor,below ground,West End,Westminster,Mount Row
2010,Special Service,260,PIGEON TRAPPED ON BEHIND FIREPLACE,Bird,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,Brooklands,Havering,Norfolk Road
2010,Special Service,260,ASSIST RSPCA,Bird,landline,Other outdoor location ,Outdoor,below ground,Hampstead Town,Camden,Frognal Rise
2010,Special Service,260,DUCKLINGS STUCK IN DRAIN,Bird,mobile,Other outdoor location ,Outdoor,below ground,White Hart Lane,Haringey,Creighton Road
2010,Special Service,260,DUCKLING STUCK IN DRAIN,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Uxbridge South,Hillingdon,Windsor Street
2010,Special Service,260,DUCKLING TRAPPED IN DRAINAGE DITCH BY LAKES,Bird,landline,Lake/pond/reservoir ,Outdoor,below ground,Hampstead Town,Camden,Parliament Hill
2010,Special Service,260,DUCKLINGS STUCK DOWN DRAIN,Bird,mobile,Other retail  ,Non Residential,below ground,Edgware,Barnet,Barnet Way
2010,Special Service,260,ASSIST RSPCA WITH PIGEON TRAPPED IN NETTING,Bird,landline,"Tunnel, subway ",Outdoor Structure,below ground,West Hampstead,Camden,Kilburn High Road
2010,Special Service,260,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Bensham Manor,Croydon,Torridge Road
2011,Special Service,260,TO ASSIST RSPCA WITH TRAPPED GULL,Bird,mobile,Purpose built office ,Non Residential,below ground,Holborn and Covent Garden,Camden,Bedford Row
2011,Special Service,260,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Norbury Park,Croydon,Virginia Road
2011,Special Service,260,DUCKLINGS DOWN STORM DRAIN,Bird,landline,"Tunnel, subway ",Outdoor Structure,below ground,Blackwall & Cubitt Town,Tower Hamlets,Friars Mead
2011,Special Service,260,ASSIST RSPCA WITH DUCKLING TRAPPED IN DRAIN,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,Regent's Park,Camden,Cambridge Gate Mews
2011,Special Service,260,PIGEON STUCK IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Mawneys,Havering,Linley Crescent
2011,Special Service,260,BIRD TRAPPED IN NETTING,Bird,landline,Underground car park,Non Residential,below ground,Lancaster Gate,Westminster,Queensway
2012,Special Service,260,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,Lavender Fields,Merton,Eveline Road
2012,Special Service,260,DUCKLING FALLEN DOWN DRAIN,Bird,landline,Road surface/pavement ,Outdoor,below ground,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,Petersham Road
2012,Special Service,260,DUCKLINGS TRAPPED IN DRAIN,Bird,mobile,Animal harm outdoors,Outdoor,below ground,Lewisham Central,Lewisham,Waterway Avenue
2012,Special Service,260,PIGEON TRAPPED IN WIRE,Bird,mobile,Animal harm outdoors,Outdoor,below ground,Cranbrook,Redbridge,Clarence Avenue
2012,Special Service,260,ASSIST RSPCA WITH SMALL ANIMAL RESCUE,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,Blackheath,Lewisham,South Row
2012,Special Service,260,ASSIST RSPCA WITH SEGULLS TRAPPED DOWN A WELL,Bird,landline,Converted office ,Non Residential,below ground,Farringdon Without,City of London,Bream's Buildings
2012,Special Service,260,DUCKLINGS STUCK IN LOCKED DRAIN,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Wanstead,Redbridge,Wanstead Park
2012,Special Service,260,TWO DUCKLINGS STUCK IN GRID,Bird,mobile,Pipe or drain ,Outdoor Structure,below ground,Wanstead,Redbridge,Wanstead Park
2013,Special Service,290,BIRDS HEAD TRAPPED IN CAGE,Bird,mobile,House - single occupancy ,Dwelling,below ground,Downham,Lewisham,Farmfield Road
2013,Special Service,290,DUCKLINGS TRAPPED IN STORM DRAIN,Bird,landline,Animal harm outdoors,Outdoor,below ground,Seven Kings,Redbridge,Barley Lane
2013,Special Service,290,BIRD TRAPPED,Bird,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,below ground,Abbey Road,Westminster,Hamilton Terrace
2013,Special Service,290,BIRD TRAPPED IN TRAMPOLINE,Bird,mobile,Playground/Recreation area (not equipment),Outdoor,below ground,Streatham Wells,Lambeth,Albert Carr Gardens
2013,Special Service,290,PIEGEON TRAPPED IN WIRING,Bird,landline,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,below ground,Little Venice,Westminster,Hall Place
2014,Special Service,295,SMALL BIRD TRAPPED UNDER FLOOR BOARD,Bird,mobile,House - single occupancy ,Dwelling,below ground,Barkingside,Redbridge,Campbell Avenue
2014,Special Service,295,ASSIST RSPCA WITH DUCKLING STUCK IN DRAIN,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,Whitefoot,Lewisham,Conisborough Crescent
2014,Special Service,295,ASSIST RSPCA WITH BIRD WITH LEG TRAPPED IN FLOODLIGHT,Bird,landline,"Roadside furniture (eg lamp posts, road signs, telegraph poles, speed cameras)",Outdoor Structure,below ground,Broad Green,Croydon,Volta Way
2014,Special Service,295,ANIMAL TRAPPED BEHIND WALL,Bird,landline,House - single occupancy ,Dwelling,below ground,Cray Valley West,Bromley,Wisley Road
2015,Special Service,298,PIDGEON TRAPPED IN CHIMNEY BREAST,Bird,landline,House - single occupancy ,Dwelling,below ground,Kelsey and Eden Park,Bromley,Uplands
2015,Special Service,298,DUCKLINGS STUCK IN DRAIN PIPE,Bird,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,Frognal and Fitzjohns,Camden,Buckland Crescent
2016,Special Service,326,DUCKLINGS IN DRAIN   CALLER WILL MEET BRIGADE,Bird,mobile,Animal harm outdoors,Outdoor,below ground,LEYTONSTONE,WALTHAM FOREST,HIGH ROAD LEYTONSTONE
2016,Special Service,326,Redacted,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,COPERS COPE,BROMLEY,HOWARDS CREST CLOSE
2017,Special Service,326,SWAN TRAPPED UNDER ROAD IN WATER   SWAN SANCTUARY ALREADY IN ATTENDANCE,Bird,mobile,Lake/pond/reservoir ,Outdoor,below ground,CARSHALTON CENTRAL,SUTTON,HIGH STREET
2017,Special Service,328,BIRD TRAPPED IN CHIMNEY,Bird,landline,House - single occupancy ,Dwelling,below ground,COLLEGE PARK AND OLD OAK,HAMMERSMITH AND FULHAM,HEATHSTAN ROAD
2017,Special Service,328,DUCK TRAPPED UNDER A MANHOLE COVER,Bird,mobile,Animal harm outdoors,Outdoor,below ground,Wanstead Park,REDBRIDGE,BRADING CRESCENT
2017,Special Service,328,BIRD STUCK UNDER DRAIN GRILL,Bird,mobile,Road surface/pavement ,Outdoor,below ground,EAST FINCHLEY,BARNET,SIMMS GARDENS
2017,Special Service,328,DUCKLINGS STUCK IN DRAIN     NIGHT MANAGER WILL MEET AND SHOW YOU WHERE THEY ARE  RSPCA UNABLE TO AT,Bird,landline,Pipe or drain ,Outdoor Structure,below ground,STONEBRIDGE,BRENT,GREAT CENTRAL WAY
2018,Special Service,333,TO ASSIST RSCPA WITH DUCKLING IN DRAIN OUTSIDE TENNIS CLUB AT TRAFFIC LIGHTS,Bird,landline,Animal harm outdoors,Outdoor,below ground,Wanstead Park,REDBRIDGE,BLAKE HALL ROAD
2018,Special Service,333,POSSIBLE ANIMAL TRAPPED UNDER BATH,Bird,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,CRANFORD,HOUNSLOW,ARUNDEL ROAD
